일자,요일,본사정원수,실질정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,Month,Date,Season,New_lunch,New_dinner,lunch_rice,lunch_soup,lunch_main,dinner_rice,dinner_soup,dinner_main,평균기온(°C),일강수량(mm),평균 상대습도(%),휴일,휴일 전
2016-04-18,월,2643,2337,81,225,330,0,1120,525,4,18,봄,0,0,밥,배추된장국,돈육강정,밥,꽃게탕,유산슬,14.4,0.0,43.0,0,0
2016-04-19,화,2643,2360,44,239,387,0,980,449,4,19,봄,0,0,밥,육개장,꽁치한마리구이,낙지비빔밥,유부장국,새싹피자,13.5,0.0,46.5,0,0
2016-04-20,수,2643,2334,47,262,0,0,849,504,4,20,봄,0,0,콩나물밥,근대된장국,매콤떡갈비조림,밥,어묵국,닭볶음탕,13.5,0.0,58.8,0,0
2016-04-21,목,2643,2313,66,264,312,0,940,531,4,21,봄,0,0,밥,대구매운탕,쇠고기볶음,오므라이스,팽이버섯국,해물까스*탈탈소스,13.8,33.2,89.0,0,0
2016-04-22,금,2643,2218,150,275,86,0,698,557,4,22,봄,0,0,밥,북어국,등갈비김치찜,밥,순두부찌개,탕수어,17.0,0.0,70.9,0,1
2016-04-25,월,2643,2346,96,201,281,0,1227,528,4,25,봄,0,0,밥,콩나물국,돈간장불고기,밥,알탕,순살깐풍기,15.4,0.0,51.6,0,0
2016-04-26,화,2643,2365,51,227,304,0,795,568,4,26,봄,0,0,밥,쇠고기무국,주꾸미볶음,짜장덮밥,맑은국,쇠고기퀘사디아,16.3,1.2,61.4,0,0
2016-04-27,수,2643,2338,71,234,0,0,1028,490,4,27,봄,0,0,나물비빔밥,미소장국,궁중떡찜,밥,청국장찌개,코다리무조림,11.4,42.9,84.5,0,0
2016-04-28,목,2643,2318,56,269,196,0,811,508,4,28,봄,0,0,밥,미역국,양념파닭,참치주먹밥,비빔메밀국수,가쯔오장국,14.1,5.0,77.1,0,0
2016-04-29,금,2643,2222,139,282,28,0,652,507,4,29,봄,0,0,밥,돈육김치찌개,미트볼조림,밥,들깨버섯탕,고추잡채*꽃빵,15.0,0.0,63.3,0,1
2016-05-02,월,2635,2341,80,214,302,0,1242,551,5,2,봄,0,0,밥,시금치국,닭갈비,밥,북어국,고추장불고기,17.8,0.0,74.8,0,0
2016-05-03,화,2635,2319,65,251,292,0,964,515,5,3,봄,0,0,곤드레밥,무채국,모둠장조림,밥,부대찌개*라면사리,탕수육,16.6,80.6,66.6,0,0
2016-05-04,수,2635,2241,150,244,0,0,723,636,5,4,봄,0,0,밥,쇠고기샤브국,오징어볶음,카레덮밥,미소장국,수제미니햄버거,17.8,0.0,32.4,1,1
2016-05-09,월,2635,2301,101,233,344,0,1216,591,5,9,봄,0,0,밥,매운어묵국,훈제오리구이,밥,닭개장,가자미튀김,17.6,0.0,54.9,0,0
2016-05-10,화,2635,2330,53,252,350,0,1008,519,5,10,봄,0,0,밥,콩나물국,버섯불고기,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,14.4,31.3,86.0,0,0
2016-05-11,수,2635,2309,60,266,0,0,915,423,5,11,봄,0,0,단호박영양밥,시래기된장국,돈육칠리강정,밥,콩비지찌개,해물누룽지탕,15.8,0.1,72.3,0,0
2016-05-12,목,2635,2290,71,274,315,0,753,532,5,12,봄,0,0,밥,오징어국,찜닭,돈까스김밥,잔치국수,멕시칸샐러드,17.6,0.0,63.4,0,0
2016-05-13,금,2635,2182,185,268,80,0,761,517,5,13,봄,0,0,밥,된장찌개,매운돼지갈비찜,밥,쇠고기무국,코다리강정,16.2,0.0,71.8,0,1
2016-05-16,월,2635,2320,99,216,368,0,1180,594,5,16,봄,0,0,밥,감자고추장찌개,돈육굴소스볶음,밥,닭곰탕,주꾸미볶음,15.1,6.0,58.1,0,0
2016-05-17,화,2635,2340,41,254,377,0,899,633,5,17,봄,0,0,밥,들깨버섯탕,고등어김치말이,유부초밥,우동,떡볶이,16.4,0.0,53.8,0,0
2016-05-18,수,2635,2307,71,257,0,0,856,456,5,18,봄,0,0,산채비빔밥,미소장국,치킨핑거,밥,뼈해장국,황태양념구이,19.3,0.0,56.8,0,0
2016-05-19,목,2635,2304,65,266,264,0,898,529,5,19,봄,0,0,밥,열무된장국,미니채소떡갈비,새우살볶음밥,팽이장국,사천식탕수육,19.0,0.0,58.6,0,0
2016-05-20,금,2635,2179,169,287,56,0,653,487,5,20,봄,0,0,밥,순두부찌개,닭오븐구이,밥,육개장,꽁치허브구이,19.3,0.0,55.4,0,1
2016-05-23,월,2635,2344,88,203,362,0,1160,613,5,23,봄,0,0,밥,북어콩나물국,쇠고기불고기,밥,수제비국,데리야끼파닭,19.8,0.0,56.8,0,0
2016-05-24,화,2635,2327,74,234,310,0,1107,465,5,24,봄,0,0,밥,한방갈비탕,꼬지삼색전,참치회덮밥,맑은국,고구마치즈구이,18.7,25.6,86.5,0,0
2016-05-25,수,2635,2305,72,258,0,0,938,454,5,25,봄,0,0,낙지볶음밥,미역장국,탕수어,밥,된장찌개,등갈비김치찜,19.3,0.0,68.1,0,0
2016-05-26,목,2635,2286,64,285,227,0,783,520,5,26,봄,0,0,밥,쇠고기해장국,갈치구이,짜장잡채밥,계란파국,춘권*칠리소스,20.6,0.0,64.9,0,0
2016-05-27,금,2635,2181,163,291,61,0,660,493,5,27,봄,0,0,밥,배추된장국,닭양념조림,밥,꽃게탕,돈육청경채볶음,22.5,0.0,56.8,0,1
2016-05-30,월,2635,2347,73,215,291,0,1231,631,5,30,봄,0,0,밥,콩나물김치국,누룽지탕수육,밥,해물순두부찌개,미니함박조림,21.5,0.0,58.9,0,0
2016-05-31,화,2635,2335,50,250,185,0,921,535,5,31,봄,0,0,밥,근대된장국,닭갈비,참치주먹밥,쌀국수,수제고로케*케찹,21.2,0.0,62.4,0,0
2016-06-01,수,2637,2317,75,245,0,0,916,490,6,1,여름,0,0,열무비빔밥,강된장찌개,오징어튀김,밥,어묵국,고추장불고기,20.4,0.0,57.4,0,0
2016-06-02,목,2637,2298,81,258,301,0,850,483,6,2,여름,0,0,밥,오이미역냉국,모둠장조림,날치알볶음밥,유부장국,고추잡채*꽃빵,18.9,0.0,56.0,0,0
2016-06-03,금,2637,2178,191,268,64,0,721,548,6,3,여름,0,0,밥,차돌박이찌개,찜닭,밥,시래기국,수제돈까스,20.7,0.0,54.5,1,1
2016-06-07,화,2637,2330,115,192,389,0,1244,629,6,7,여름,0,0,밥,북어계란국,돈육굴소스볶음,콩나물밥*양념장,가쯔오장국,미트볼케찹조림,21.1,0.0,76.9,0,0
2016-06-08,수,2637,2339,58,240,0,0,931,500,6,8,여름,0,0,밥,참치김치찌개,순살깐풍기,밥,육개장,자반고등어구이,21.2,0.0,80.0,0,0
2016-06-09,목,2637,2316,69,252,359,0,829,506,6,9,여름,0,0,밥,매운콩나물국,돼지갈비찜,충무김밥,열무물국수,오징어무침,21.7,0.0,76.9,0,0
2016-06-10,금,2637,2216,151,270,61,0,697,509,6,10,여름,0,0,밥,된장찌개,오징어볶음,밥,어묵국,버섯불고기,22.5,0.0,71.5,0,1
2016-06-13,월,2637,2330,98,209,415,0,1243,590,6,13,여름,0,0,밥,북어콩나물국,제육볶음,밥,들깨버섯탕,삼치데리야끼구이,23.2,0.0,73.4,0,0
2016-06-14,화,2637,2340,56,241,432,0,973,593,6,14,여름,0,0,밥,배추된장국,닭양념조림,오므라이스,미소장국,훈제오리냉채,23.0,0.0,70.4,0,0
2016-06-15,수,2637,2317,60,260,0,0,984,535,6,15,여름,0,0,카레덮밥,맑은국,떡갈비조림,밥,닭개장,해물청경채볶음,21.9,0.0,78.6,0,0
2016-06-16,목,2637,2301,73,263,336,0,800,524,6,16,여름,0,0,밥,부대찌개,가자미양념찜,유부초밥,냉모밀국수,치킨핑거*요거트D,23.8,0.0,65.6,0,0
2016-06-17,금,2637,2181,165,291,60,0,694,484,6,17,여름,0,0,밥,꽃게탕,돈육강정,밥,소고기미역국,유산슬,22.4,0.0,62.9,0,1
2016-06-20,월,2637,2279,101,257,344,0,1146,585,6,20,여름,0,0,밥,어묵국,레몬탕수육,밥,호박잎찌개,쇠불고기,22.8,5.2,84.6,0,0
2016-06-21,화,2637,2340,49,248,349,0,1091,645,6,21,여름,0,0,밥,대구찌개,간장치킨,김밥/맑은국,비빔국수,콘샐러드,22.6,2.0,86.0,0,0
2016-06-22,수,2637,2332,47,258,0,0,1022,467,6,22,여름,0,0,밥,시래기국,돈삼겹보쌈,밥,닭곰탕,찹쌀순대볶음,21.5,11.8,88.3,0,0
2016-06-23,목,2637,2313,53,271,346,0,877,588,6,23,여름,0,0,밥,쇠고기무국,매콤낙지볶음,작은밥/맑은국,토마토스파게티,양송이스프,23.7,0.0,71.6,0,0
2016-06-24,금,2637,2184,169,284,52,0,805,475,6,24,여름,0,0,밥,도토리묵냉국,목살데리야끼구이,밥,순두부찌개,해물누룽지탕,22.5,73.6,79.9,0,1
2016-06-27,월,2637,2314,96,227,300,0,1142,609,6,27,여름,0,0,밥,배추된장국,훈제오리구이,밥,김치찌개,모둠장조림,20.4,0.1,81.8,0,0
2016-06-28,화,2637,2321,63,253,226,0,917,535,6,28,여름,0,0,밥,육개장,고등어구이,볶음밥/짜장소스,계란국,탕수만두,21.3,0.0,73.0,0,0
2016-06-29,수,2637,2322,67,248,0,0,820,487,6,29,여름,0,0,밥,콩나물국,간장돼지갈비찜,밥,청국장찌개,아귀콩나물찜,21.6,1.7,78.4,0,0
2016-06-30,목,2637,2314,76,247,151,0,886,446,6,30,여름,0,0,밥,버섯들깨찌개,닭오븐구이,주먹밥,김치말이국수,감자버터구이,23.5,0.0,78.3,0,0
2016-07-01,금,2643,2283,145,215,41,0,879,513,7,1,여름,0,0,밥,수제비국,유자청제육볶음,밥,차돌박이된장찌개,깐풍기,23.9,43.1,84.6,0,1
2016-07-04,월,2643,2365,88,190,385,0,1292,582,7,4,여름,0,0,밥,감자고추장찌개,버섯불고기,밥,열무된장국,닭볶음탕,23.8,0.5,88.3,0,0
2016-07-05,화,2643,2362,55,226,376,0,952,551,7,5,여름,0,0,밥,쇠고기미역국,꽁치김치말이찜,굴소스파인볶음밥,맑은국,탕수어,26.5,0.1,80.9,0,0
2016-07-06,수,2643,2363,56,224,0,0,939,484,7,6,여름,0,0,곤드레밥,가쯔오장국,닭강정,밥,시금치국,오징어볶음,26.4,9.3,78.6,0,0
2016-07-07,목,2643,2341,64,238,340,0,857,494,7,7,여름,0,0,밥,된장찌개,갈치조림,밥,함박스테이크,단호박스프,25.9,0.0,78.1,0,0
2016-07-08,금,2643,2228,155,260,60,0,863,534,7,8,여름,0,0,밥,우무묵냉국,갈릭돈까스,밥,알탕,고추잡채*꽃빵,25.5,0.0,74.9,0,1
2016-07-11,월,2643,2312,121,210,366,0,1115,630,7,11,여름,0,0,밥,호박잎찌개,돈육굴소스볶음,밥,부대찌개,가자미튀김,24.4,2.2,84.9,0,0
2016-07-12,화,2643,2348,72,223,382,0,919,519,7,12,여름,0,0,밥,건새우아욱국,순살파닭,볶음밥,쌀국수,수제핫도그,24.2,4.2,86.8,0,0
2016-07-13,수,2643,2323,79,241,0,0,866,483,7,13,여름,0,0,나물비빔밥,오이냉국,사천식탕수육,밥,쇠고기샤브국,황태양념구이,25.8,0.0,80.1,0,0
2016-07-14,목,2643,2307,84,252,308,0,781,550,7,14,여름,0,0,밥,배추된장국,매운주꾸미볶음,멸치주먹밥,물냉면,과일샐러드,26.7,0.0,67.1,0,0
2016-07-15,금,2643,2193,189,261,55,0,867,503,7,15,여름,0,0,밥,북어계란국,등갈비김치찜,밥,오징어국,쇠고기장조림,25.0,0.0,64.9,0,1
2016-07-18,월,2643,2309,126,208,343,0,1158,596,7,18,여름,0,0,밥,순두부찌개,돈육떡강정,밥,느타리버섯국,고등어카레구이,24.3,0.0,72.6,0,0
2016-07-19,화,2643,2299,111,233,263,0,888,424,7,19,여름,0,0,밥,시래기국,목살데리야끼,콩나물밥,맑은국,너비아니*부추생채,24.7,0.0,74.5,0,0
2016-07-20,수,2643,2281,124,238,0,0,844,443,7,20,여름,0,0,밥,사골우거지탕,미트볼조림,밥,동태찌개,치킨핑거,24.5,0.0,67.8,0,0
2016-07-21,목,2643,2273,115,255,263,0,733,446,7,21,여름,0,0,밥,우묵콩국,고추장불고기,볶음밥*자장소스,계란파국,유산슬,24.3,0.0,71.8,0,0
2016-07-22,금,2643,2120,251,272,47,0,661,501,7,22,여름,0,0,참치회덮밥,미소장국,고구마치즈구이,밥,돈육김치찌개,깐풍기,24.0,0.0,75.5,0,1
2016-07-25,월,2643,2186,277,180,247,0,1086,584,7,25,여름,0,0,밥,쇠고기미역국,불닭볶음,밥,콩가루배추국,돈까스,28.0,28.4,76.4,0,0
2016-07-26,화,2643,2198,260,185,269,0,927,582,7,26,여름,0,0,밥,청국장찌개,미니채소떡갈비,충무김밥,잔치국수,오징어무침,28.0,0.0,74.5,0,0
2016-07-27,수,2643,2152,299,192,0,0,872,423,7,27,여름,0,0,밥,시금치국,동파삼겹수육,밥,어묵국,닭볶음탕,28.6,0.0,71.6,0,0
2016-07-28,목,2643,2099,340,204,197,0,816,434,7,28,여름,0,0,밥,꽃게탕,훈제오리냉채,카레라이스,맑은국,순대야채볶음,28.7,0.0,73.6,0,0
2016-07-29,금,2643,1950,486,207,36,0,671,472,7,29,여름,0,0,연복풍덮밥,도토리묵냉국,꽁치오븐구이,밥,아욱국,등뼈묵은지찜,28.6,0.0,74.6,0,1
2016-08-01,월,2644,2023,512,109,238,0,1055,510,8,1,여름,0,0,밥,부대찌개*라면사리,갈치구이,밥,콩나물국,소불고기,26.8,1.6,73.9,0,0
2016-08-02,화,2644,2017,460,167,268,0,829,515,8,2,여름,0,0,열무보리비빔밥,팽이장국,꽃맛살볶음,밥,짬뽕수제비국,모둠장조림,25.9,10.2,78.9,0,0
2016-08-03,수,2644,1976,485,183,0,0,802,363,8,3,여름,0,0,밥,버섯들깨탕,레몬탕수육,주먹밥,냉모밀국수,소고기퀘사디아,26.1,0.5,78.3,0,0
2016-08-04,목,2644,1977,467,200,262,0,671,456,8,4,여름,0,0,밥,복숭아미역냉국,닭데리야끼조림,오므라이스,가쯔오장국,떡볶이,27.1,0.0,73.6,0,0
2016-08-05,금,2644,1894,538,212,46,0,641,448,8,5,여름,0,0,밥,된장찌개,매콤돼지갈비찜,밥,쇠고기무국,쭈꾸미볶음,27.7,0.0,69.8,0,1
2016-08-08,월,2644,2043,421,180,255,0,1038,480,8,8,여름,0,0,밥,호박잎된장국,유자청제육볶음,밥,북어국,찜닭,27.5,0.4,73.0,0,0
2016-08-09,화,2644,2070,392,182,286,0,874,470,8,9,여름,0,0,밥,콩나물국,미니함박조림,작은밥,콩국수,멕시칸샐러드,27.4,0.0,73.8,0,0
2016-08-10,수,2644,2045,411,188,0,0,842,451,8,10,여름,0,0,밥,사과오이냉국,장어강정,밥,닭개장,해물청경채볶음,29.1,0.0,67.0,0,0
2016-08-11,목,2644,2029,413,202,295,0,845,530,8,11,여름,0,0,밥,시래기국,삼겹살오븐구이,볶음밥,스파게티/크림스프,치킨텐더,29.9,0.0,67.1,0,0
2016-08-12,금,2644,1842,587,215,60,0,708,410,8,12,여름,0,0,불고기덮밥,맑은국,새우까스&탈탈소스,밥,김치찌개,삼치된장구이,30.5,0.0,66.3,1,1
2016-08-16,화,2644,2115,352,177,351,0,1023,561,8,16,여름,0,0,밥,닭곰탕,고등어조림,김밥볶음밥,미소장국,과일샐러드,27.1,0.0,76.0,0,0
2016-08-17,수,2644,2142,311,191,0,0,924,465,8,17,여름,0,0,밥,대구매운탕,오징어볶음,밥,콩비지찌개,돈육굴소스볶음,26.8,13.9,78.3,0,0
2016-08-18,목,2644,2155,274,215,364,0,943,574,8,18,여름,0,0,밥,열무된장국,갈릭돈가스,유부초밥,김치우동,왕새우튀김,27.2,0.0,71.6,0,0
2016-08-19,금,2644,2062,345,237,59,0,754,532,8,19,여름,0,0,단호박영양밥,도토리묵냉국,소고기숙주볶음,밥,된장찌개,훈제오리/무쌈/양파절임,27.5,0.0,68.9,0,1
2016-08-22,월,2644,2370,115,159,458,0,1266,729,8,22,여름,0,0,밥,꽃게탕,고추잡채*꽃빵,밥,무채국,돈육볶음,28.4,0.2,65.3,0,0
2016-08-23,화,2644,2347,86,211,386,0,1145,563,8,23,여름,0,0,밥,배추된장국,칠리탕수육,김치볶음밥,유부장국,허니버터옥수수,26.8,1.1,73.0,0,0
2016-08-24,수,2644,2322,113,209,0,0,941,588,8,24,여름,0,0,밥,해물된장찌개,닭볶음,밥,감자국,등갈비김치찜,26.9,0.0,59.0,0,0
2016-08-25,목,2644,2280,123,241,308,0,885,508,8,25,여름,0,0,밥,육개장,동태무조림,콩국수,작은밥,춘권,26.6,0.0,69.0,0,0
2016-08-26,금,2644,2181,194,269,70,0,813,489,8,26,여름,0,0,밥,떡국,마늘치킨,밥,콩나물냉국,주꾸미볶음,22.1,3.8,80.6,0,1
2016-08-29,월,2644,2310,132,202,352,0,1258,568,8,29,여름,0,0,밥,순두부찌개,소불고기,밥,차돌박이찌개,닭갈비,21.1,0.1,61.1,0,0
2016-08-30,화,2644,2306,96,242,268,0,901,514,8,30,여름,0,0,밥,버섯매운탕,갈치구이,굴소스해물볶음밥,맑은국,수제고로케*케찹,22.0,0.0,55.1,0,0
2016-08-31,수,2644,2310,98,236,0,0,915,498,8,31,여름,0,0,낙지비빔밥,가쯔오장국,계란말이,밥,청국장찌개,깐풍육,24.8,0.0,43.6,0,0
2016-09-01,목,2769,2420,99,250,336,0,953,468,9,1,가을,0,0,밥,오징어국,목살데리야끼,참치주먹밥,로제파스타/스프,고구마치즈구이,25.0,20.8,64.3,0,0
2016-09-02,금,2769,2313,177,279,76,0,832,460,9,2,가을,0,0,밥,시래기된장국,닭찜,밥,알탕,돈육장조림,19.2,76.4,89.8,0,1
2016-09-05,월,2769,2444,100,225,447,0,1164,554,9,5,가을,0,0,밥,쇠고기샤브국,오징어볶음,밥,어묵국,제육볶음,24.9,0.5,82.9,0,0
2016-09-06,화,2769,2457,59,253,477,0,784,560,9,6,가을,0,0,밥,부대찌개,가자미카레튀김,볶음밥/짜장소스,유부장국,멕시칸샐러드,24.2,0.0,81.4,0,0
