Date,Day,Total_Emp,Actual_Emp,Leave_Emp,Trip_Emp,OT_Approved,Remote_Emp,Lunch_Menu,Dinner_Menu,Lunch_Count,Dinner_Count,Holiday,Month,Date.1,Season,Lunch_Rice,Lunch_Soup,Lunch_Main_Dish,Lunch_Side_Dish_1,Lunch_Side_Dish_2,Lunch_Drink,Lunch_Kimchi,Lunch_side_Dish_3,Dinner_Rice,Dinner_Soup,Dinner_Main_Dish,Dinner_Side_Dish_1,Dinner_Side_Dish_2,Dinner_Side_Dish_3,Dinner_Drink,Dinner_Kimchi,Station,Avg_Temp,Max_Temp,Max_Temp_Time,Min_Temp,Min_Temp_Time,Temp_Range,Special_Day_Name,special_day
2016-02-19,금,2601,2204,145,252,69,0,쌀밥/잡곡밥 (쌀:국내산) 대구찌개  마늘간장치킨 (닭고기:국내산) 새송이버섯볶음  돌나물무침/치킨무  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 설렁탕 (쇠고기:호주산) 김치전 (김치:국내산) 야채스틱  바나나  석박지 (김치:국내산) ,0.4015477214101461,0.6596685082872928,2016,2,19,겨울,쌀밥/잡곡밥,대구찌개,마늘간장치킨,새송이버섯볶음,돌나물무침/치킨무,요구르트,포기김치,,쌀밥/잡곡밥,설렁탕,김치전,야채스틱,,바나나,,석박지,서울,0.35390946502057613,0.30019880715705766,15:19,0.3824130879345603,6:07,4.3,,0
2016-02-22,월,2601,2304,90,207,434,0,쌀밥/오곡밥 (쌀:국내산) 쇠고기느타리국  갈치구이  호박꼬지&고사리&무나물  파래김*양념장  부럼/요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  떡갈비조림  청포묵무침  부추오이생채  포기김치 (김치:국내산) ,0.8615649183147034,0.7127071823204421,2016,2,22,겨울,쌀밥/오곡밥,쇠고기느타리국,갈치구이,호박꼬지&고사리&무나물,파래김*양념장,부럼/요구르트,포기김치,,쌀밥/잡곡밥,옹심이만두국,떡갈비조림,청포묵무침,부추오이생채,,,포기김치,서울,0.3292181069958848,0.2962226640159046,15:36,0.33537832310838445,4:46,6.4,,0
2016-02-23,화,2601,2307,57,237,488,0,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  돈육간장볶음  버섯잡채  꽃상추무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물까스&타르타르소스  볶음쌀국수  미역레몬초무침  통배추겉절이 (김치:국내산) ,0.5184866723989683,0.6740331491712708,2016,2,23,겨울,쌀밥/잡곡밥,콩나물국,돈육간장볶음,버섯잡채,꽃상추무침,요구르트,포기김치,,쌀밥/잡곡밥,콩비지찌개,해물까스&타르타르소스,볶음쌀국수,미역레몬초무침,,,통배추겉절이,서울,0.32098765432098764,0.30218687872763417,14:44,0.2883435582822086,23:57,9.0,,0
2016-02-24,수,2601,2315,54,232,14,0,비빔밥 (쌀:국내산) 팽이장국  소세지피망볶음  맛탕  귤  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  매운돼지갈비찜  멸치호두볶음  숙주나물  포기김치 (김치:국내산) ,0.6242476354256234,0.5679558011049725,2016,2,24,겨울,비빔밥,팽이장국,소세지피망볶음,맛탕,귤,요구르트,포기김치,,쌀밥/잡곡밥,열무된장국,매운돼지갈비찜,멸치호두볶음,숙주나물,,,포기김치,서울,0.2448559670781893,0.25646123260437376,14:29,0.2413087934560327,7:41,9.0,,0
2016-02-25,목,2601,2284,56,261,335,0,쌀밥/잡곡밥 (쌀:국내산) 북어계란국  닭갈비  새싹두부구이  곰피초장  요구르트  포기김치 (김치:국내산) ,김밥 (쌀:국내산) 잔치국수  교자만두 (오븐에 찜) 멕시칸샐러드  무피클  포기김치 (김치:국내산) ,0.5339638865004299,0.5867403314917128,2016,2,25,겨울,쌀밥/잡곡밥,북어계란국,닭갈비,새싹두부구이,곰피초장,요구르트,포기김치,,김밥,잔치국수,교자만두,멕시칸샐러드,무피클,,,포기김치,서울,0.30246913580246915,0.3260437375745527,16:06,0.26175869120654394,2:48,11.5,,0
2016-02-26,금,2601,2179,144,278,42,0,쌀밥/잡곡밥 (쌀:국내산) 수제비국  오징어볶음  계란찜  도라지초무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 닭개장  삼치구이  꽃맛살볶음  청경채사과무침  포기김치 (김치:국내산) ,0.40412725709372316,0.6464088397790055,2016,2,26,겨울,쌀밥/잡곡밥,수제비국,오징어볶음,계란찜,도라지초무침,요구르트,포기김치,,쌀밥/잡곡밥,닭개장,삼치구이,꽃맛살볶음,청경채사과무침,,,포기김치,서울,0.35185185185185186,0.36182902584493043,15:02,0.3149284253578732,6:34,10.7,,0
2016-02-29,월,2601,1838,595,168,110,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 얼갈이된장국  제육볶음  늙은호박전  치커리생채  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 버섯들깨탕  꽁치한마리구이  두부양념조림  구이김  포기김치 (김치:국내산) ",0.4926913155631986,0.38011049723756907,2016,2,29,겨울,쌀밥/잡곡밥,얼갈이된장국,제육볶음,늙은호박전,치커리생채,요구르트,포기김치,,쌀밥/잡곡밥,버섯들깨탕,꽁치한마리구이,두부양념조림,구이김,,,포기김치,서울,0.22839506172839508,0.1908548707753479,16:05,0.2597137014314928,23:59,4.8,,0
2016-03-02,수,2624,2315,127,182,261,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기미역국  주꾸미볶음  맛살계란말이  아삭고추무침  포기김치 (배추,고추가루:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  버섯불고기  콩나물겨자채  양념깻잎지  포기김치 (배추,고추가루:국내산) ",0.7145313843508168,0.6972375690607735,2016,3,2,봄,쌀밥/잡곡밥,쇠고기미역국,주꾸미볶음,맛살계란말이,아삭고추무침,,포기김치,,쌀밥/잡곡밥,된장찌개,버섯불고기,콩나물겨자채,양념깻잎지,,,포기김치,서울,0.37037037037037035,0.37375745526838966,15:08,0.33537832310838445,0:33,10.3,,0
2016-03-03,목,2624,2339,61,224,351,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 근대된장국  탕수육  새송이버섯조림  무생채  요구르트  포기김치 (배추,고추가루:국내산) ","멸치주먹밥 (쌀,현미흑미:국내산) 우동  떡볶이  군고구마  단무지  포기김치 (배추,고추가루:국내산) ",0.6053310404127257,0.5226519337016575,2016,3,3,봄,쌀밥/잡곡밥,근대된장국,탕수육,새송이버섯조림,무생채,요구르트,포기김치,,멸치주먹밥,우동,떡볶이,군고구마,단무지,,,포기김치,서울,0.4732510288065843,0.48906560636182905,15:51,0.4703476482617587,0:01,9.5,,0
2016-03-04,금,2624,2294,83,247,79,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 부대찌개  가자미튀김  메추리알조림  열무된장나물  깍두기 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미트볼조림  옥수수전  부추생채  포기김치 (배추,고추가루:국내산) ",0.46517626827171105,0.7436464088397791,2016,3,4,봄,쌀밥/잡곡밥,부대찌개,가자미튀김,메추리알조림,열무된장나물,,깍두기,,쌀밥/잡곡밥,오징어국,미트볼조림,옥수수전,부추생채,,,포기김치,서울,0.5781893004115226,0.6163021868787277,15:25,0.5112474437627812,5:58,13.9,,0
2016-03-07,월,2624,2379,50,195,456,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 콩나물국  닭갈비 (닭고기:국내산) 모둠묵*양념장  톳두부무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",0.8856405846947548,0.6906077348066298,2016,3,7,봄,쌀밥/잡곡밥,콩나물국,닭갈비,모둠묵*양념장,톳두부무침,,포기김치,,쌀밥/잡곡밥,대구찌개,돈육굴소스볶음,감자채볶음,물파래무침,,,포기김치,서울,0.4732510288065843,0.4552683896620278,16:38,0.47852760736196315,1:25,7.4,,0
2016-03-08,화,2624,2365,47,212,426,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 고등어김치말이  소세지구이  풋마늘초무침  깍두기 (김치:국내산)   ","카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",0.6276870163370594,0.6729281767955801,2016,3,8,봄,쌀밥/잡곡밥,차돌박이찌개,고등어김치말이,소세지구이,풋마늘초무침,,깍두기,,카레덮밥,가쯔오장국,수제고로케*케찹,과일샐러드,오복지,,,포기김치,서울,0.36213991769547327,0.3518886679920477,0:01,0.35173824130879344,23:51,8.4,,0
2016-03-09,수,2624,2356,43,225,0,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 북어국  돈육장조림 (돼지고기:국내산) 홍어무침  시금치나물  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",0.5202063628546862,0.5779005524861879,2016,3,9,봄,쌀밥/잡곡밥,북어국,돈육장조림,홍어무침,시금치나물,,포기김치,,쌀밥/잡곡밥,육개장,생선까스*탈탈소스,야채계란찜,콩나물무침,,,포기김치,서울,0.31275720164609055,0.31809145129224653,15:14,0.3251533742331288,6:49,8.0,,0
2016-03-10,목,2624,2324,55,245,290,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 고추장찌개  닭데리야끼조림  해물파전  취나물  포기김치 (김치:국내산)   ","볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",0.47377472055030095,0.5801104972375691,2016,3,10,봄,쌀밥/잡곡밥,고추장찌개,닭데리야끼조림,해물파전,취나물,,포기김치,,볶음밥,짬뽕,개성감자만두,타코야끼,꼬들단무지,,,포기김치,서울,0.2839506172839506,0.27435387673956263,15:01,0.29243353783231085,7:11,7.4,,0
2016-03-11,금,2624,2241,108,275,76,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 배추된장국  수제돈가스 (돼지고기:국내산) 탕평채  쫄면무침  포기김치 (김치:국내산)   ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",0.3714531384350817,0.6530386740331492,2016,3,11,봄,쌀밥/잡곡밥,배추된장국,수제돈가스,탕평채,쫄면무침,,포기김치,,쌀밥/잡곡밥,연두부탕,코다리무조림,고추잡채*꽃빵,봄동겉절이,,,포기김치,서울,0.2962962962962963,0.30417495029821073,15:15,0.26789366053169733,6:31,10.1,,0
2016-03-14,월,2624,2380,61,183,376,0,쌀밥/잡곡밥 (쌀:국내산) 어묵국  돈육고추장볶음 (돼지고기:국내산) 모둠양채쌈*쌈장  콩나물파채무침   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,0.8512467755803954,0.6475138121546962,2016,3,14,봄,쌀밥/잡곡밥,어묵국,돈육고추장볶음,모둠양채쌈*쌈장,콩나물파채무침,,포기김치,,쌀밥/잡곡밥,달래된장찌개,간장찜닭,통도라지구이,참나물생채,,,포기김치,서울,0.40329218106995884,0.40357852882703776,15:57,0.40695296523517377,6:55,8.3,,0
2016-03-15,화,2624,2355,38,231,399,0,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",0.5692175408426483,0.6022099447513812,2016,3,15,봄,쌀밥/잡곡밥,쑥국,소불고기,골뱅이무침*소면,마늘쫑볶음,,포기김치,,짜장잡채덮밥,계란파국,참치야채전,꽃맛살샐러드,오이무침,,,포기김치,서울,0.41358024691358025,0.4592445328031809,14:57,0.3599182004089979,6:53,13.4,,0
2016-03-16,수,2624,2361,50,213,0,0,곤드레밥 (쌀:국내산) 콩나물김치국  미니채소떡갈비 (쇠고기:호주산.돈육:국내산) 두부계란부침  무나물   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,0.6036113499570077,0.5867403314917128,2016,3,16,봄,곤드레밥,콩나물김치국,미니채소떡갈비,두부계란부침,무나물,,포기김치,,쌀밥/잡곡밥,뼈해장국,해물청경채볶음,버섯메밀전,야채스틱*쌈장,,,포기김치,서울,0.4609053497942387,0.4870775347912525,13:50,0.43558282208588955,6:57,11.1,,0
2016-03-17,목,2624,2330,52,242,327,0,쌀밥/잡곡밥 (쌀:국내산) 사골우거지국 (쇠고기:호주산) 탕수어  파래김*양념장  깻순나물   깍두기 (김치:국내산)  ,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,0.46087704213241615,0.6055248618784531,2016,3,17,봄,쌀밥/잡곡밥,사골우거지국,탕수어,파래김*양념장,깻순나물,,깍두기,,토마토스파게티,양송이스프,미니햄버거,단호박범벅,무피클,,음료,포기김치,서울,0.49794238683127573,0.5049701789264414,12:52,0.42126789366053163,7:00,12.7,,0
2016-03-18,금,2624,2229,118,277,57,0,쌀밥/잡곡밥 (쌀:국내산) 시금치국  훈제오리구이  연근땅콩조림  쌈무/부추생채   포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,0.39638865004299223,0.5756906077348066,2016,3,18,봄,쌀밥/잡곡밥,시금치국,훈제오리구이,연근땅콩조림,쌈무/부추생채,,포기김치,,쌀밥/잡곡밥,닭곰탕,임연수찜,어묵곤약볶음,돌나물초장,,,석박지,서울,0.5823045267489713,0.6123260437375746,15:04,0.5603271983640081,1:03,11.3,,0
2016-03-21,월,2624,2354,65,205,329,0, 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,0.6311263972484953,0.6685082872928177,2016,3,21,봄,쌀밥/잡곡밥,꽃게탕,버섯불고기,계란말이,도토리묵무침,,포기김치,,쌀밥/잡곡밥,수제비국,아귀콩나물찜,새송이버섯볶음,봄동겉절이,,,포기김치,서울,0.5102880658436214,0.532803180914513,13:43,0.492842535787321,7:12,10.6,,0
2016-03-22,화,2624,2375,41,208,378,0, 쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국 (쇠고기:호주산) 코다리강정  두부&김치볶음  유채나물  깍두기 (김치:국내산)  ,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,0.5339638865004299,0.6464088397790055,2016,3,22,봄,쌀밥/잡곡밥,쇠고기샤브국,코다리강정,두부&김치볶음,유채나물,,깍두기,,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,궁중떡찜,두반장가지나물,,,포기김치,서울,0.4711934156378601,0.4870775347912525,14:06,0.45194274028629855,6:40,10.3,,0
2016-03-23,수,2624,2346,42,236,0,0, 콩나물밥*달래장 (쌀:국내산) 맑은국  치킨텐더*요거트D (닭고기:국내산) 땅콩조림  실곤약초무침  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,0.5735167669819432,0.6011049723756906,2016,3,23,봄,콩나물밥*달래장,맑은국,치킨텐더*요거트D,땅콩조림,실곤약초무침,,포기김치,,쌀밥/잡곡밥,알탕,동그랑땡전,마파두부,시금치나물,,,포기김치,서울,0.47530864197530864,0.4870775347912525,12:48,0.4580777096114519,7:12,10.0,,0
2016-03-24,목,2624,2320,53,251,293,0, 쌀밥/잡곡밥 (쌀:국내산) 북어계란국  쇠고기장조림 (쇠고기:호주산) 오징어초무침  시래기나물  포기김치 (김치:국내산)  ,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,0.4987102321582115,0.5602209944751382,2016,3,24,봄,쌀밥/잡곡밥,북어계란국,쇠고기장조림,오징어초무침,시래기나물,,포기김치,,참치회덮밥,미소장국,군만두,콘샐러드,,바나나,,포기김치,서울,0.4547325102880658,0.46520874751491054,15:12,0.41308793456032716,6:24,11.1,,0
2016-03-25,금,2624,2251,98,275,59,0, 쌀밥/잡곡밥 (쌀:국내산) 닭개장 (닭고기:국내산) 자반고등어구이 (고등어:국내산) 비엔나볶음  열무나물  배추겉절이 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,0.4858125537403268,0.5779005524861879,2016,3,25,봄,쌀밥/잡곡밥,닭개장,자반고등어구이,비엔나볶음,열무나물,,배추겉절이,,쌀밥/잡곡밥,냉이된장찌개,누룽지탕수육,감자채볶음,청경채무침,,,포기김치,서울,0.45267489711934156,0.46322067594433397,15:38,0.42331288343558277,6:55,10.5,,0
2016-03-28,월,2624,2350,77,197,299,0, 쌀밥/잡곡밥 (쌀:국내산) 얼갈이된장국  닭갈비  해파리냉채  취나물  포기김치 (김치:국내산)  ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  유산슬  해물까스*탈탈소스  도라지나물  포기김치 (김치:국내산) ,0.7712811693895099,0.7038674033149172,2016,3,28,봄,쌀밥/잡곡밥,얼갈이된장국,닭갈비,해파리냉채,취나물,,포기김치,,쌀밥/잡곡밥,콩비지찌개,유산슬,해물까스*탈탈소스,도라지나물,,,포기김치,서울,0.5082304526748971,0.5586481113320079,15:34,0.42740286298568503,6:24,15.1,,0
2016-03-29,화,2624,2327,52,245,259,0, 쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  주꾸미볶음  새송이버섯전  치커리유자청생채  포기김치 (김치:국내산)  ,햄볶음밥 (쌀:국내산) 유부장국  돈육씨앗강정  해초무침  깨찰빵  포기김치 (김치:국내산) ,0.5124677558039552,0.5138121546961326,2016,3,29,봄,쌀밥/잡곡밥,옹심이만두국,주꾸미볶음,새송이버섯전,치커리유자청생채,,포기김치,,햄볶음밥,유부장국,돈육씨앗강정,해초무침,깨찰빵,,,포기김치,서울,0.5390946502057613,0.5526838966202783,13:17,0.5357873210633947,5:51,9.5,,0
